Week,price,Apple,AirPods,Apple Watch,iPad,iPhone,MacBook Pro,MacBook
1/10/16,98.566,49,99.898,96.906,97.838,63290779.2,41,56
1/17/16,96.232,48,97.232,94.396,95.94,56691723.2,42,57
1/24/16,94.74,49,96.4725,93.0725,94.5,56728754.5,42,57
1/31/16,94.676,47,95.652,93.034,96.88,72296622.8,39,54
2/7/16,93.572,47,94.462,92.276,93.284,39374999.4,39,53
2/14/16,92.308,47,93.466,91.4,92.434,43687501.8,39,52
2/21/16,94.6125,47,95.655,93.6825,94.7525,38501137.75,39,53
2/28/16,94,47,94.904,93.154,94.272,29819010.6,39,53
3/6/16,97.542,45,98.98,97.058,98.408,37487452.8,38,51
3/13/16,99.524,44,100.024,98.574,99.39,29049049.2,37,51
3/20/16,102.306,66,103.304,101.912,102.796,33837978,41,55
3/27/16,103.58,52,104.86,103.1175,103.925,27798086.5,38,52
4/3/16,105.4875,48,107.1364,105.3184,106.646,29281601,37,51
4/10/16,107.552,46,108.51,106.766,108.83,27024105.8,37,50
4/17/16,108.27,45,109.316,107.59,108.392,30045548.2,38,55
4/24/16,104.86,48,105.46,103.682,104.42,33166088.4,38,53
5/1/16,97.23,45,98.382,96.14,97.108,51820508.8,37,50
5/8/16,92.414,44,92.91,91.184,92.074,40554568.67,37,51
5/15/16,91.146,45,91.694,89.976,90.55,40558189.2,39,52
5/22/16,92.712,44,93.476,91.956,92.882,39397657,38,52
5/29/16,96.734,45,97.782,96.26,97.478,34800352.2,40,54
6/5/16,97.05,43,97.5525,96.365,97.03,32443785.25,40,53
6/12/16,97.206,48,98.656,96.976,97.562,22920389.8,43,56
6/19/16,95.934,44,96.636,95.028,95.536,22920389.8,40,53
6/26/16,93.814,43,94.734,93.196,93.802,37542337.2,39,52
7/3/16,92.576,45,93.3,91.998,92.914,34422726.4,38,51
7/10/16,94.14,49,94.695,93.7225,94.38,26163226.5,38,52
7/17/16,96.106,46,96.806,95.86,96.314,27066048.8,38,50
7/24/16,97.998,47,98.712,97.576,98.086,27737805.4,41,56
7/31/16,99.786,47,100.53,99.038,99.61,47281668.4,41,56
8/7/16,104.09,45,105.002,103.606,104.602,30886008.6,42,56
8/14/16,107.134,45,107.698,106.7,107.24,22538320,43,58
8/21/16,107.948,48,108.652,107.576,108.276,24033050.6,44,60
8/28/16,107.158,52,107.594,106.402,106.964,22538078.4,46,63
9/4/16,106.052,100,106.054,104.976,105.67,23890235.8,51,67
9/11/16,107.1625,73,106.5075,104.75,105.185,39364974.5,46,62
9/18/16,1/0/1900,68,110.824,107.792,110.092,73820800.2,47,64
9/25/16,112.124,69,113.726,111.69,112.52,37901919.4,46,62
10/2/16,111.996,65,112.606,111.128,111.968,29299203.2,47,61
10/9/16,115.132,62,112.914,111.79,112.24,23786040.2,46,61
10/16/16,116.4,58,116.698,115.012,115.772,39284533.8,48,61
10/23/16,115.222,65,116.5162,115.04,116.032,21552279.2,100,100
10/30/16,111.722,58,115.478,113.952,114.844,38579593.4,76,80
11/6/16,109.504,52,111.58,109.706,110.24,28380607,53,63
11/13/16,107.104,55,110.226,107.454,109.238,38340771.4,56,68
11/20/16,110.38,70,108.848,106.604,108.096,32831547.8,59,73
11/27/16,110.5725,56,111.465,110.195,111.145,21776002.25,54,67
12/4/16,109.284,54,111.064,109.446,110.108,28211362.2,51,63
12/11/16,113.476,56,111.258,109.428,110.746,27700088.4,50,62
12/18/16,115.922,60,115.26,113.942,114.616,32592691.4,50,63
12/25/16,116.06,64,116.552,115.586,116.182,19179835.6,56,70
