,Date,Price
0,1980-12-15,0.4047
1,1980-12-16,0.3751
2,1980-12-17,0.3825
3,1980-12-18,0.3936
4,1980-12-19,0.4176
5,1980-12-22,0.4379
6,1980-12-23,0.4564
7,1980-12-24,0.4804
8,1980-12-26,0.5248
9,1980-12-29,0.5322
10,1980-12-30,0.5211
11,1980-12-31,0.5063
12,1981-01-02,0.51
13,1981-01-05,0.5008
14,1981-01-06,0.4786
15,1981-01-07,0.4583
16,1981-01-08,0.449
17,1981-01-09,0.4712
18,1981-01-12,0.4712
19,1981-01-13,0.4527
20,1981-01-14,0.4527
21,1981-01-15,0.462
22,1981-01-16,0.4601
23,1981-01-19,0.486
24,1981-01-20,0.473
25,1981-01-21,0.4804
26,1981-01-22,0.486
27,1981-01-23,0.486
28,1981-01-26,0.4786
29,1981-01-27,0.4767
30,1981-01-28,0.4601
31,1981-01-29,0.4435
32,1981-01-30,0.4213
33,1981-02-02,0.3954
34,1981-02-03,0.4084
35,1981-02-04,0.4232
36,1981-02-05,0.4232
37,1981-02-06,0.425
38,1981-02-09,0.4065
39,1981-02-10,0.4028
40,1981-02-11,0.3917
41,1981-02-12,0.388
42,1981-02-13,0.3807
43,1981-02-17,0.3862
44,1981-02-18,0.4028
45,1981-02-19,0.3807
46,1981-02-20,0.3603
47,1981-02-23,0.364
48,1981-02-24,0.3548
49,1981-02-25,0.3733
50,1981-02-26,0.3788
51,1981-02-27,0.3917
52,1981-03-02,0.3936
53,1981-03-03,0.3899
54,1981-03-04,0.3862
55,1981-03-05,0.3843
56,1981-03-06,0.3825
57,1981-03-09,0.3511
58,1981-03-10,0.3345
59,1981-03-11,0.3234
60,1981-03-12,0.3326
61,1981-03-13,0.3308
62,1981-03-16,0.3418
63,1981-03-17,0.3585
64,1981-03-18,0.3807
65,1981-03-19,0.3788
66,1981-03-20,0.3807
67,1981-03-23,0.3954
68,1981-03-24,0.3954
69,1981-03-25,0.3899
70,1981-03-26,0.3807
71,1981-03-27,0.3677
72,1981-03-30,0.3659
73,1981-03-31,0.3659
74,1981-04-01,0.3603
75,1981-04-02,0.3899
76,1981-04-03,0.3917
77,1981-04-06,0.3862
78,1981-04-07,0.3825
79,1981-04-08,0.3991
80,1981-04-09,0.4065
81,1981-04-10,0.4121
82,1981-04-13,0.4121
83,1981-04-14,0.4121
84,1981-04-15,0.3936
85,1981-04-16,0.3714
86,1981-04-20,0.3807
87,1981-04-21,0.4065
88,1981-04-22,0.4213
89,1981-04-23,0.4324
90,1981-04-24,0.4324
91,1981-04-27,0.4268
92,1981-04-28,0.4195
93,1981-04-29,0.4139
94,1981-04-30,0.4195
95,1981-05-01,0.4195
96,1981-05-04,0.4195
97,1981-05-05,0.4176
98,1981-05-06,0.4065
99,1981-05-07,0.4102
100,1981-05-08,0.4139
101,1981-05-11,0.4065
102,1981-05-12,0.4047
103,1981-05-13,0.4047
104,1981-05-14,0.401
105,1981-05-15,0.4065
106,1981-05-18,0.4139
107,1981-05-19,0.4084
108,1981-05-20,0.4195
109,1981-05-21,0.4435
110,1981-05-22,0.4638
111,1981-05-26,0.4638
112,1981-05-27,0.4878
113,1981-05-28,0.4878
114,1981-05-29,0.4897
115,1981-06-01,0.4897
116,1981-06-02,0.4675
117,1981-06-03,0.4657
118,1981-06-04,0.4749
119,1981-06-05,0.4693
120,1981-06-08,0.4527
121,1981-06-09,0.4601
122,1981-06-10,0.4657
123,1981-06-11,0.486
124,1981-06-12,0.4823
125,1981-06-15,0.4804
126,1981-06-16,0.4712
127,1981-06-17,0.4638
128,1981-06-18,0.462
129,1981-06-19,0.449
130,1981-06-22,0.4324
131,1981-06-23,0.4379
132,1981-06-24,0.4305
133,1981-06-25,0.4361
134,1981-06-26,0.4342
135,1981-06-29,0.4195
136,1981-06-30,0.3862
137,1981-07-01,0.3825
138,1981-07-02,0.3807
139,1981-07-06,0.3714
140,1981-07-07,0.3714
141,1981-07-08,0.3862
142,1981-07-09,0.3585
143,1981-07-10,0.3308
144,1981-07-13,0.3363
145,1981-07-14,0.3511
146,1981-07-15,0.3603
147,1981-07-16,0.3696
148,1981-07-17,0.3825
149,1981-07-20,0.3585
150,1981-07-21,0.3566
151,1981-07-22,0.3382
152,1981-07-23,0.3437
153,1981-07-24,0.3548
154,1981-07-27,0.3696
155,1981-07-28,0.3585
156,1981-07-29,0.3529
157,1981-07-30,0.364
158,1981-07-31,0.3696
159,1981-08-03,0.3696
160,1981-08-04,0.3714
161,1981-08-05,0.3825
162,1981-08-06,0.3751
163,1981-08-07,0.3733
164,1981-08-11,0.3659
165,1981-08-12,0.3566
166,1981-08-13,0.3455
167,1981-08-14,0.3418
168,1981-08-17,0.3308
169,1981-08-18,0.3234
170,1981-08-19,0.3197
171,1981-08-20,0.3197
172,1981-08-21,0.3012
173,1981-08-24,0.2809
174,1981-08-25,0.2864
175,1981-08-26,0.2827
176,1981-08-27,0.2827
177,1981-08-28,0.2975
178,1981-08-31,0.2975
179,1981-09-01,0.316
180,1981-09-02,0.3215
181,1981-09-03,0.3086
182,1981-09-04,0.303
183,1981-09-08,0.2938
184,1981-09-09,0.292
185,1981-09-10,0.2938
186,1981-09-11,0.292
187,1981-09-14,0.2827
188,1981-09-15,0.2753
189,1981-09-16,0.2698
190,1981-09-17,0.2624
191,1981-09-18,0.2624
192,1981-09-21,0.2642
193,1981-09-22,0.2513
194,1981-09-23,0.2476
195,1981-09-24,0.2439
196,1981-09-25,0.2143
197,1981-09-28,0.2125
198,1981-09-29,0.2236
199,1981-09-30,0.2254
200,1981-10-01,0.2254
201,1981-10-02,0.2439
202,1981-10-05,0.2513
203,1981-10-06,0.2513
204,1981-10-07,0.2642
205,1981-10-08,0.2735
206,1981-10-09,0.2753
207,1981-10-12,0.2846
208,1981-10-13,0.2846
209,1981-10-14,0.2698
210,1981-10-15,0.2735
211,1981-10-16,0.2716
212,1981-10-19,0.2753
213,1981-10-20,0.2901
214,1981-10-21,0.2901
215,1981-10-22,0.2901
216,1981-10-23,0.2827
217,1981-10-26,0.2809
218,1981-10-27,0.2864
219,1981-10-28,0.2957
220,1981-10-29,0.2938
221,1981-10-30,0.2957
222,1981-11-02,0.2957
223,1981-11-03,0.2938
224,1981-11-04,0.2864
225,1981-11-05,0.2661
226,1981-11-06,0.2661
227,1981-11-09,0.2698
228,1981-11-10,0.2716
229,1981-11-11,0.279
230,1981-11-12,0.2883
231,1981-11-13,0.2698
232,1981-11-16,0.2661
233,1981-11-17,0.2698
234,1981-11-18,0.279
235,1981-11-19,0.279
236,1981-11-20,0.2809
237,1981-11-23,0.2716
238,1981-11-24,0.2679
239,1981-11-25,0.2716
240,1981-11-27,0.279
241,1981-11-30,0.2772
242,1981-12-01,0.2753
243,1981-12-02,0.2772
244,1981-12-03,0.2753
245,1981-12-04,0.2809
246,1981-12-07,0.2827
247,1981-12-08,0.2809
248,1981-12-09,0.279
249,1981-12-10,0.279
250,1981-12-11,0.279
251,1981-12-14,0.2716
252,1981-12-15,0.2753
253,1981-12-16,0.2883
254,1981-12-17,0.3123
255,1981-12-18,0.3382
256,1981-12-21,0.3252
257,1981-12-22,0.3289
258,1981-12-23,0.3234
259,1981-12-24,0.3234
260,1981-12-28,0.3123
261,1981-12-29,0.3141
262,1981-12-30,0.3271
263,1981-12-31,0.3271
264,1982-01-04,0.3271
265,1982-01-05,0.3123
266,1982-01-06,0.3067
267,1982-01-07,0.2846
268,1982-01-08,0.2938
269,1982-01-11,0.2772
270,1982-01-12,0.2679
271,1982-01-13,0.2661
272,1982-01-14,0.2772
273,1982-01-15,0.2957
274,1982-01-18,0.3012
275,1982-01-19,0.2975
276,1982-01-20,0.2993
277,1982-01-21,0.3049
278,1982-01-22,0.3067
279,1982-01-25,0.2993
280,1982-01-26,0.2901
281,1982-01-27,0.2883
282,1982-01-28,0.2975
283,1982-01-29,0.3012
284,1982-02-01,0.3012
285,1982-02-02,0.2993
286,1982-02-03,0.2993
287,1982-02-04,0.2938
288,1982-02-05,0.292
289,1982-02-08,0.2753
290,1982-02-09,0.2735
291,1982-02-10,0.2772
292,1982-02-11,0.2753
293,1982-02-12,0.2772
294,1982-02-16,0.2735
295,1982-02-17,0.2753
296,1982-02-18,0.279
297,1982-02-19,0.279
298,1982-02-22,0.2753
299,1982-02-23,0.2716
300,1982-02-24,0.2716
301,1982-02-25,0.2716
302,1982-02-26,0.2698
303,1982-03-01,0.2716
304,1982-03-02,0.2716
305,1982-03-03,0.2716
306,1982-03-04,0.2679
307,1982-03-05,0.2476
308,1982-03-08,0.2439
309,1982-03-09,0.2439
310,1982-03-10,0.2421
311,1982-03-11,0.2402
312,1982-03-12,0.2273
313,1982-03-15,0.2254
314,1982-03-16,0.2217
315,1982-03-17,0.2107
316,1982-03-18,0.2254
317,1982-03-19,0.2458
318,1982-03-22,0.2642
319,1982-03-23,0.2624
320,1982-03-24,0.2476
321,1982-03-25,0.2458
322,1982-03-26,0.2421
323,1982-03-29,0.2458
324,1982-03-30,0.2495
325,1982-03-31,0.2495
326,1982-04-01,0.2624
327,1982-04-02,0.2624
328,1982-04-05,0.2624
329,1982-04-06,0.2624
330,1982-04-07,0.2587
331,1982-04-08,0.2587
332,1982-04-12,0.2587
333,1982-04-13,0.2384
334,1982-04-14,0.2384
335,1982-04-15,0.2421
336,1982-04-16,0.2495
337,1982-04-19,0.2476
338,1982-04-20,0.2347
339,1982-04-21,0.2328
340,1982-04-22,0.2291
341,1982-04-23,0.2273
342,1982-04-26,0.2328
343,1982-04-27,0.2273
344,1982-04-28,0.218
345,1982-04-29,0.2162
346,1982-04-30,0.218
347,1982-05-03,0.2254
348,1982-05-04,0.2328
349,1982-05-05,0.2328
350,1982-05-06,0.2365
351,1982-05-07,0.2402
352,1982-05-10,0.2384
353,1982-05-11,0.231
354,1982-05-12,0.2254
355,1982-05-13,0.2254
356,1982-05-14,0.2199
357,1982-05-17,0.2143
358,1982-05-18,0.2107
359,1982-05-19,0.2088
360,1982-05-20,0.2088
361,1982-05-21,0.2107
362,1982-05-24,0.2125
363,1982-05-25,0.2125
364,1982-05-26,0.2125
365,1982-05-27,0.2088
366,1982-05-28,0.207
367,1982-06-01,0.2051
368,1982-06-02,0.207
369,1982-06-03,0.2033
370,1982-06-04,0.1959
371,1982-06-07,0.194
372,1982-06-08,0.194
373,1982-06-09,0.1903
374,1982-06-10,0.1903
375,1982-06-11,0.1977
376,1982-06-14,0.1977
377,1982-06-15,0.1977
378,1982-06-16,0.1977
379,1982-06-17,0.1959
380,1982-06-18,0.194
381,1982-06-21,0.1903
382,1982-06-22,0.1977
383,1982-06-23,0.2033
384,1982-06-24,0.2033
385,1982-06-25,0.1977
386,1982-06-28,0.1959
387,1982-06-29,0.1903
388,1982-06-30,0.1885
389,1982-07-01,0.1885
390,1982-07-02,0.1792
391,1982-07-06,0.1718
392,1982-07-07,0.17
393,1982-07-08,0.1645
394,1982-07-09,0.1682
395,1982-07-12,0.1718
396,1982-07-13,0.1829
397,1982-07-14,0.1848
398,1982-07-15,0.1885
399,1982-07-16,0.1959
400,1982-07-19,0.1977
401,1982-07-20,0.2107
402,1982-07-21,0.2107
403,1982-07-22,0.2125
404,1982-07-23,0.2107
405,1982-07-26,0.2014
406,1982-07-27,0.1996
407,1982-07-28,0.1922
408,1982-07-29,0.1977
409,1982-07-30,0.1996
410,1982-08-02,0.2051
411,1982-08-03,0.194
412,1982-08-04,0.1922
413,1982-08-05,0.1848
414,1982-08-06,0.1829
415,1982-08-09,0.1829
416,1982-08-10,0.194
417,1982-08-11,0.1959
418,1982-08-12,0.1959
419,1982-08-13,0.194
420,1982-08-16,0.1977
421,1982-08-17,0.2107
422,1982-08-18,0.2107
423,1982-08-19,0.2125
424,1982-08-20,0.218
425,1982-08-23,0.2273
426,1982-08-24,0.2384
427,1982-08-25,0.255
428,1982-08-26,0.2624
429,1982-08-27,0.2513
430,1982-08-30,0.2532
431,1982-08-31,0.2661
432,1982-09-01,0.2605
433,1982-09-02,0.2698
434,1982-09-03,0.2716
435,1982-09-07,0.2587
436,1982-09-08,0.2661
437,1982-09-09,0.2624
438,1982-09-10,0.2679
439,1982-09-13,0.2698
440,1982-09-14,0.279
441,1982-09-15,0.279
